segment_id,name,country,distance,city,athlete_count,polyline
35750983,[VNO] Times City Loop [04][XL][CW],Vietnam,1615.9,Hà Nội,4202,}dc_CiedeSIpEALW\KB[@qAC{A@aDGaD@yAB}AXKOAQ?yBCaBJ{ACu@OaAAq@C[GYEk@@o@M}CFUJOTGjDHlACx@Bj@Cl@@pAE~BHn@?t@BPJJNH^HvBCd@B`AEnB
15364689,Beer 2KU to Water Park,Vietnam,5021.7,Hà Nội,29036,gbm_Cck{dSMj@Up@Mp@i@tBIf@Ch@Sx@Gf@HlAF`@Cj@InAKd@OnAMh@Gn@[pAUb@i@rBkAlGW`@iAb@e@LaAR]TeAh@c@Ne@D{@_@kAQw@Na@NiATc@R{@l@yEtAeCfAe@HeA^gARiBn@i@Aa@Oe@A_@T}AfAiBl@a@Tq@TsBVa@PW`@CZ@pAAh@Eh@CBg@HiAJa@Vw@z@Md@SnAAf@[Ve@DmGC_D?c@?g@G_@WY[U_@a@Qc@GoAGa@HWLI@_@UwAsAa@MqBQOEg@Cc@Pc@?eAa@cBy@wCq@oBMg@Gc@Qs@w@c@Uc@Ke@FoAAoBs@y@y@cAi@e@S_AAc@Ka@WW]Ws@QSa@WmBg@{AeAu@c@kBu@c@WeAc@gAYa@QoBe@aAc@eBeAAOrBwB\WxAuAx@o@b@WLa@Ie@w@w@yAiBkDcFy@kAO_@
32152029,Two Dragon ,Vietnam,1171.4,Hà Nội,53216,kto_CmyxdSANKDQ?GB[B}CAeEGeA?[Bi@OIEYW[e@[W}BQmAZ[BEA]k@k@m@e@_@mAKoAQI?kATaAOeCmAg@G{Ag@k@Ee@Ie@Ac@Eo@Wm@o@_@Q_@Mc@F
22783444,West lake North 5km,Vietnam,5062.0,Hà Nội,32326,uvq_CaiydSWSAIYa@QOSISMw@a@OE_@As@Q]SQOOUSm@MQGEOEcAc@C?gAg@kAu@o@[G?MGoAs@IA_@Qs@a@{@Ms@UsAm@k@_@KAs@c@i@Um@]?EDE^[X[v@o@x@gA\[\SJMNCXSLETUDM@SIa@MOYMKKU]y@cASa@a@o@i@o@QQgAyA]k@c@m@USAG?CFQJA`@[XKfAm@PMRKh@a@Rc@HcALu@BCZKz@MXIlAEhAU\WVe@dAkA`@Wt@_@x@G|@B`@HTN`@n@x@vB@\AREHk@t@U^WXOVGT?PbAbCdBvDFFTLTBbAGd@S\U`Ac@TID?JDPX^v@JLNFV?LId@q@XQp@w@FW@}@FQXa@DO?SQy@]iCM_@i@cASg@B{AAgBBWPU^OTCLHvAhDp@hAFVTb@Pj@nAjCVr@b@v@`@dANDn@?lAMd@An@GX?NEHULoBNiAFMLMVITAx@pBRj@`AnBJNx@`@RPLTLb@HLTh@h@v@b@^XNr@Ph@F\@f@CRENG\Id@Wb@]l@m@v@a@`Am@t@y@\U~@u@RIr@g@jA_AJCd@_@HEb@]TY
34344598,Tay Ho Pub Crawl Return,Vietnam,303.1,Hanoi,56694,yvr_C}f{dSLALIl@MZMp@KTIj@EVIl@c@?MV]JEHIZo@HK\QVUH@JKD?
34344607,Quang Ba Arc Return,Vietnam,1935.6,Hanoi,47592,ghr_Cwo{dSn@G\BNAR@\Nd@ZLZ\`@H`@R\L|@Ar@Ud@i@d@o@v@EJCTDRZ|@l@lARj@Xb@^dANVPJXE~@AJIHAHGHAHIXMHAXSp@Wb@T^f@N\THNMP[FEBEfA{@BKDCDs@AMBI?ILYJIHQ@OCMAUGSCECWKa@McAWi@SYc@aAAKCEBMASDG?a@DILAf@IF?FAV@|Bz@^b@@HFF@HHL@HNTPNJDTNJD@BTPDHZ`@L\HF?DT\ADHPNf@Bb@@@ATFJNDN?j@K\@t@Mt@AFEBUHMHaAD_AFIj@a@VKL?FDZl@
13547601,Quang Ba-stard segment,Vietnam,486.9,Hà Nội,51721,stq_CeyzdSVZT`@^T^QR_@z@w@Ta@BmAj@_AEg@[kA_@qB{@kBIe@@k@
34344614,Turtle Lake Passage Return,Vietnam,786.3,Hanoi,49563,mup_Ckd{dSLd@b@j@FJBLLPTh@LNBJJNRTPFb@\NRFDLf@HHFZRTBHFD@NZd@`@VTJh@L\BNFFGRDt@KTIJA`@Wl@[dAq@lB}At@e@TYf@a@~@m@V[LE
13547582,Quang An Northern sprint,Vietnam,1105.9,Hà Nội,48427,gno_Ckg{dSoAyAqCiEw@kC[o@eBuDiA_B]Uc@McGqG[UcBaA{AmAY]Qg@Ya@a@YaBcAa@O[Uq@s@
29061783,Tu Hoa mountain,Vietnam,241.4,Hà Nội,47438,ucp_Cqh}dSa@eA?SVgAHOHg@Xu@LO\uATWPE
